"Nombre d'incendies suivant les critères de sélection : 21141"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;25;"34";"34336";"Villeneuve-lès-Béziers";"2025-01-01 00:09:00";100;0;0;100;0;0;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2025;10622;"68";"68116";"Gundolsheim";"2025-01-01 00:15:00";1;0;;1;0;0;;;;;"Estimées";;;"Non";;;;""
2025;20561;"44";"44109";"Nantes";"2025-01-01 00:16:00";1;0;;0;0;1;;;;;"Estimées";;;"Non";;;;""
2025;168;"44";"44109";"Nantes";"2025-01-01 00:16:00";1;0;;0;0;1;;;;;"Estimées";;;"Non";;;;""
2025;19861;"16";"16329";"Saint-Laurent-de-Céris";"2025-01-01 00:26:00";10;0;;0;0;10;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;263;"57";"57209";"Faulquemont";"2025-01-01 00:34:00";10;0;;10;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;694;"56";"56179";"Pont-Scorff";"2025-01-01 01:08:00";1;1;;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;8949;"83";"83126";"La Seyne-sur-Mer";"2025-01-01 01:46:00";200;0;200;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2025;22370;"974";"97414";"Saint-Louis";"2025-01-01 01:51:00";60;0;;60;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;22405;"974";"97414";"Saint-Louis";"2025-01-01 01:51:00";60;0;;60;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;10623;"68";"68058";"Buhl";"2025-01-01 02:32:00";1;0;;1;0;0;;;;;"Estimées";;;"Non";;;;""
2025;118;"66";"66176";"Saint-Hippolyte";"2025-01-01 10:27:00";30;0;0;0;30;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;26;"2B";"2B007";"Albertacce";"2025-01-01 13:04:00";10000;0;10000;0;0;0;;;;;"Estimées";;;"Non";;;;""
